Unnamed: 0,1: Support,2: Waste of money,3: Version errors (SO),5: Bugs,6: Long time users (upgrade),9: Personal data,11: Quickbooks,12: TurboTax,13: Install,14: Downloaded and bought from Amazon,17: slow performance,18: hard to use,Dom_Topic
12529,0.02,0.03,0.22,0.02,0.16,0.03,0.04,0.02,0.03,0.02,0.02,0.09,3
12530,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.12,0.1,0.03,0.02,0.17,0
12531,0.05,0.08,0.15,0.04,0.04,0.04,0.04,0.05,0.08,0.07,0.04,0.04,3
12532,0.24,0.01,0.05,0.0,0.09,0.1,0.04,0.02,0.02,0.04,0.0,0.02,1
12533,0.04,0.08,0.08,0.04,0.07,0.02,0.06,0.02,0.07,0.02,0.03,0.21,18
12534,0.13,0.1,0.01,0.01,0.01,0.03,0.03,0.03,0.08,0.01,0.01,0.06,0
12535,0.19,0.11,0.02,0.02,0.03,0.02,0.14,0.05,0.02,0.14,0.02,0.02,1
12536,0.09,0.06,0.01,0.01,0.03,0.02,0.09,0.01,0.02,0.08,0.02,0.23,16
12537,0.09,0.05,0.05,0.01,0.08,0.05,0.07,0.01,0.03,0.06,0.01,0.03,16
12538,0.01,0.07,0.01,0.0,0.02,0.1,0.06,0.02,0.01,0.01,0.0,0.01,16
12539,0.02,0.06,0.17,0.02,0.05,0.02,0.03,0.06,0.11,0.02,0.02,0.03,0
12540,0.04,0.11,0.03,0.03,0.05,0.03,0.1,0.04,0.1,0.03,0.04,0.14,18
12541,0.31,0.01,0.1,0.01,0.2,0.02,0.07,0.03,0.02,0.05,0.01,0.02,1
12542,0.04,0.07,0.02,0.01,0.13,0.02,0.02,0.01,0.08,0.01,0.01,0.06,16
12543,0.27,0.11,0.03,0.03,0.03,0.09,0.03,0.03,0.03,0.08,0.03,0.03,1
12544,0.26,0.15,0.02,0.02,0.04,0.02,0.03,0.02,0.02,0.02,0.02,0.05,1
12545,0.03,0.05,0.02,0.01,0.05,0.01,0.02,0.01,0.06,0.01,0.03,0.02,16
12546,0.29,0.06,0.02,0.02,0.02,0.02,0.03,0.05,0.02,0.02,0.02,0.02,1
12547,0.06,0.03,0.08,0.03,0.13,0.03,0.04,0.03,0.03,0.13,0.03,0.03,16
12548,0.2,0.03,0.02,0.03,0.09,0.03,0.03,0.03,0.09,0.14,0.06,0.02,1
12549,0.01,0.03,0.17,0.01,0.07,0.03,0.02,0.02,0.01,0.02,0.01,0.05,16
12550,0.05,0.04,0.03,0.02,0.04,0.03,0.02,0.03,0.02,0.06,0.02,0.12,0
12551,0.02,0.08,0.02,0.02,0.24,0.05,0.08,0.02,0.02,0.08,0.02,0.02,6
12552,0.02,0.02,0.06,0.02,0.08,0.02,0.03,0.02,0.1,0.06,0.02,0.03,16
12553,0.13,0.03,0.03,0.03,0.17,0.1,0.03,0.03,0.03,0.11,0.03,0.03,6
12554,0.16,0.1,0.12,0.01,0.1,0.03,0.02,0.01,0.06,0.02,0.01,0.03,16
12555,0.08,0.03,0.26,0.01,0.24,0.04,0.02,0.02,0.04,0.03,0.02,0.01,3
12556,0.13,0.01,0.05,0.02,0.16,0.02,0.03,0.02,0.15,0.13,0.02,0.03,6
12557,0.02,0.09,0.02,0.02,0.15,0.09,0.03,0.02,0.02,0.04,0.02,0.03,16
12558,0.01,0.02,0.04,0.01,0.11,0.01,0.02,0.01,0.03,0.03,0.01,0.03,16
12559,0.03,0.05,0.04,0.04,0.13,0.03,0.03,0.02,0.02,0.02,0.02,0.02,16
12560,0.06,0.03,0.11,0.02,0.15,0.02,0.03,0.02,0.08,0.03,0.02,0.02,16
12561,0.23,0.03,0.1,0.02,0.03,0.06,0.03,0.03,0.06,0.04,0.02,0.02,1
12562,0.01,0.13,0.03,0.01,0.11,0.02,0.02,0.02,0.01,0.01,0.02,0.03,16
12563,0.05,0.07,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.07,0.02,0.08,16
12564,0.03,0.03,0.15,0.03,0.12,0.06,0.03,0.03,0.03,0.03,0.03,0.06,16
12565,0.1,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.06,0.01,0.01,0.08,16
12566,0.1,0.01,0.06,0.01,0.14,0.1,0.01,0.02,0.03,0.04,0.01,0.03,16
12567,0.01,0.02,0.04,0.01,0.02,0.75,0.01,0.01,0.01,0.01,0.01,0.01,9
12568,0.11,0.09,0.03,0.01,0.14,0.03,0.01,0.01,0.01,0.02,0.01,0.01,16
12569,0.07,0.02,0.05,0.02,0.24,0.03,0.02,0.05,0.02,0.06,0.02,0.02,6
12570,0.05,0.07,0.01,0.02,0.12,0.02,0.02,0.06,0.01,0.01,0.03,0.02,16
12571,0.27,0.03,0.03,0.02,0.03,0.02,0.03,0.05,0.05,0.03,0.02,0.03,1
12572,0.02,0.03,0.09,0.02,0.19,0.02,0.02,0.02,0.02,0.04,0.02,0.02,16
12573,0.01,0.01,0.01,0.01,0.04,0.02,0.01,0.04,0.01,0.0,0.01,0.02,16
12574,0.1,0.01,0.03,0.01,0.31,0.01,0.03,0.02,0.01,0.08,0.01,0.01,6
12575,0.2,0.07,0.02,0.03,0.13,0.03,0.03,0.02,0.02,0.05,0.02,0.02,1
12576,0.01,0.02,0.04,0.01,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.03,16
12577,0.07,0.09,0.06,0.07,0.11,0.05,0.07,0.02,0.05,0.02,0.02,0.02,16
12578,0.02,0.13,0.02,0.02,0.03,0.09,0.04,0.03,0.02,0.07,0.02,0.02,16
12579,0.05,0.09,0.18,0.01,0.04,0.01,0.13,0.01,0.07,0.01,0.02,0.17,3
12580,0.01,0.07,0.01,0.02,0.04,0.02,0.01,0.01,0.02,0.05,0.01,0.08,16
12581,0.03,0.12,0.12,0.03,0.03,0.04,0.05,0.03,0.05,0.04,0.03,0.03,16
12582,0.02,0.03,0.03,0.01,0.03,0.02,0.05,0.02,0.04,0.01,0.01,0.05,16
12583,0.07,0.03,0.07,0.01,0.14,0.01,0.03,0.03,0.05,0.01,0.01,0.03,16
12584,0.08,0.05,0.02,0.02,0.02,0.05,0.04,0.02,0.06,0.1,0.02,0.11,16
12585,0.14,0.1,0.01,0.01,0.07,0.02,0.02,0.07,0.01,0.18,0.02,0.04,14
12586,0.03,0.07,0.03,0.01,0.05,0.05,0.01,0.07,0.01,0.1,0.01,0.01,16
12587,0.25,0.03,0.18,0.01,0.07,0.02,0.02,0.01,0.05,0.01,0.02,0.01,1
12588,0.02,0.08,0.04,0.02,0.05,0.34,0.02,0.02,0.02,0.04,0.03,0.04,9
12589,0.12,0.01,0.08,0.02,0.04,0.02,0.01,0.03,0.06,0.02,0.06,0.03,16
