Unnamed: 0,Topic2: Problemas de funcionamiento,Topic6: Falta de metodos de importacion de datos,Topic8: Falta de funciones y de opciones de calidad de vida,Topic12:  Problemas Intalacion nueva version,Dom_Topic
2621,0.45,0.08,0.02,0.11,2
2622,0.54,0.06,0.02,0.04,2
2623,0.12,0.04,0.04,0.26,12
2624,0.73,0.02,0.01,0.04,2
2625,0.4,0.14,0.03,0.06,2
2626,0.25,0.03,0.03,0.3,12
2627,0.05,0.03,0.04,0.32,12
2628,0.31,0.01,0.01,0.46,12
2629,0.25,0.05,0.04,0.04,2
2630,0.47,0.02,0.3,0.02,2
2631,0.67,0.03,0.05,0.01,2
2632,0.66,0.02,0.02,0.09,2
2633,0.57,0.03,0.02,0.03,2
2634,0.71,0.02,0.02,0.02,2
2635,0.52,0.02,0.02,0.19,2
2636,0.62,0.15,0.05,0.04,2
2637,0.71,0.01,0.03,0.02,2
2638,0.42,0.02,0.02,0.17,2
2639,0.19,0.04,0.05,0.06,2
2640,0.73,0.01,0.01,0.12,2
2641,0.57,0.2,0.01,0.11,2
2642,0.54,0.03,0.03,0.03,2
2643,0.57,0.06,0.08,0.02,2
2644,0.46,0.06,0.04,0.03,2
2645,0.42,0.02,0.02,0.26,2
2646,0.46,0.08,0.03,0.03,2
2647,0.26,0.16,0.03,0.04,2
2648,0.61,0.02,0.02,0.11,2
2649,0.57,0.02,0.02,0.1,2
2650,0.55,0.1,0.03,0.03,2
2651,0.27,0.04,0.03,0.25,2
2652,0.42,0.25,0.02,0.01,2
2653,0.51,0.04,0.02,0.22,2
2654,0.43,0.03,0.07,0.04,2
2655,0.33,0.15,0.03,0.03,2
2656,0.74,0.02,0.01,0.01,2
2657,0.65,0.02,0.02,0.04,2
2658,0.25,0.04,0.04,0.04,2
2659,0.54,0.02,0.03,0.11,2
2660,0.8,0.02,0.01,0.01,2
2661,0.57,0.03,0.02,0.06,2
2662,0.72,0.01,0.01,0.02,2
2663,0.38,0.03,0.03,0.04,2
2664,0.58,0.02,0.02,0.03,2
2665,0.8,0.02,0.02,0.01,2
2666,0.57,0.11,0.02,0.02,2
2667,0.12,0.05,0.05,0.07,2
2668,0.46,0.02,0.02,0.2,2
2669,0.36,0.04,0.04,0.06,2
2670,0.39,0.04,0.19,0.04,2
2671,0.29,0.04,0.04,0.09,2
2672,0.78,0.01,0.02,0.01,2
2673,0.58,0.02,0.02,0.02,2
2674,0.71,0.04,0.05,0.03,2
2675,0.69,0.05,0.05,0.01,2
2676,0.32,0.06,0.07,0.06,2
2677,0.59,0.02,0.02,0.04,2
2678,0.76,0.01,0.02,0.01,2
2679,0.67,0.02,0.02,0.07,2
2680,0.78,0.01,0.02,0.02,2
2681,0.82,0.01,0.01,0.01,2
2682,0.51,0.02,0.04,0.08,2
2683,0.6,0.02,0.02,0.08,2
2684,0.4,0.06,0.04,0.03,2
2685,0.56,0.06,0.02,0.02,2
2686,0.32,0.25,0.03,0.03,2
2687,0.61,0.02,0.02,0.03,2
2688,0.28,0.02,0.02,0.47,12
2689,0.54,0.19,0.01,0.09,2
2690,0.67,0.01,0.01,0.21,2
2691,0.5,0.02,0.01,0.25,2
2692,0.38,0.03,0.03,0.14,2
2693,0.67,0.02,0.05,0.03,2
2694,0.1,0.05,0.05,0.05,2
2695,0.3,0.03,0.03,0.19,2
2696,0.78,0.01,0.02,0.01,2
2697,0.11,0.02,0.02,0.48,12
2698,0.37,0.01,0.02,0.39,12
2699,0.51,0.12,0.02,0.02,2
2700,0.42,0.25,0.02,0.02,2
2701,0.74,0.02,0.01,0.02,2
2702,0.13,0.01,0.01,0.74,12
2703,0.27,0.03,0.02,0.32,12
2704,0.59,0.02,0.04,0.07,2
2705,0.29,0.03,0.02,0.3,12
2706,0.59,0.02,0.02,0.02,2
2707,0.58,0.01,0.01,0.29,2
2708,0.53,0.02,0.02,0.14,2
2709,0.24,0.02,0.02,0.5,12
2710,0.64,0.02,0.02,0.03,2
2711,0.65,0.05,0.02,0.02,2
2712,0.25,0.03,0.02,0.33,12
2713,0.83,0.01,0.01,0.01,2
2714,0.31,0.04,0.04,0.04,2
2715,0.62,0.02,0.02,0.04,2
2716,0.4,0.03,0.03,0.05,2
2717,0.59,0.03,0.03,0.02,2
2718,0.48,0.03,0.06,0.09,2
2719,0.6,0.01,0.02,0.02,2
2720,0.34,0.03,0.03,0.07,2
2721,0.46,0.01,0.01,0.01,2
2722,0.48,0.33,0.01,0.04,2
2723,0.59,0.02,0.04,0.07,2
2724,0.29,0.03,0.02,0.3,12
2725,0.59,0.02,0.02,0.02,2
2726,0.58,0.01,0.01,0.29,2
2727,0.53,0.02,0.02,0.14,2
2728,0.24,0.02,0.02,0.5,12
2729,0.64,0.02,0.02,0.03,2
2730,0.65,0.05,0.02,0.02,2
2731,0.25,0.03,0.02,0.33,12
2732,0.83,0.01,0.01,0.01,2
2733,0.31,0.04,0.04,0.04,2
2734,0.62,0.02,0.02,0.04,2
2735,0.4,0.03,0.03,0.05,2
2736,0.59,0.03,0.03,0.02,2
2737,0.48,0.03,0.06,0.09,2
2738,0.6,0.01,0.02,0.02,2
2739,0.34,0.03,0.03,0.07,2
2740,0.46,0.01,0.01,0.01,2
2741,0.48,0.33,0.01,0.04,2
2742,0.36,0.03,0.06,0.04,2
2743,0.16,0.02,0.01,0.66,12
2744,0.32,0.01,0.01,0.5,12
2745,0.43,0.02,0.02,0.11,2
2746,0.59,0.02,0.02,0.08,2
2747,0.42,0.01,0.01,0.35,2
2748,0.52,0.02,0.02,0.04,2
2749,0.16,0.02,0.01,0.66,12
2750,0.32,0.01,0.01,0.5,12
2751,0.43,0.02,0.02,0.11,2
2752,0.59,0.02,0.02,0.08,2
2753,0.42,0.01,0.01,0.35,2
2754,0.52,0.02,0.02,0.04,2
2755,0.46,0.41,0.01,0.03,2
2756,0.76,0.1,0.02,0.01,2
2757,0.53,0.02,0.02,0.14,2
2758,0.55,0.07,0.02,0.04,2
2759,0.56,0.02,0.03,0.17,2
2760,0.23,0.44,0.02,0.03,6
2761,0.65,0.01,0.01,0.15,2
2762,0.68,0.01,0.01,0.06,2
2763,0.41,0.03,0.02,0.2,2
2764,0.35,0.03,0.09,0.21,2
2765,0.65,0.01,0.02,0.09,2
2766,0.52,0.01,0.01,0.01,2
2767,0.16,0.01,0.01,0.6,12
2768,0.68,0.12,0.01,0.02,2
2769,0.62,0.02,0.02,0.04,2
2770,0.2,0.02,0.03,0.55,12
2771,0.6,0.05,0.02,0.02,2
2772,0.53,0.01,0.19,0.11,2
2773,0.5,0.03,0.02,0.02,2
2774,0.36,0.05,0.06,0.04,2
2775,0.66,0.02,0.02,0.04,2
2776,0.53,0.02,0.02,0.19,2
2777,0.56,0.02,0.03,0.17,2
2778,0.23,0.44,0.02,0.03,6
2779,0.65,0.01,0.01,0.15,2
2780,0.68,0.01,0.01,0.06,2
2781,0.41,0.03,0.02,0.2,2
2782,0.35,0.03,0.09,0.21,2
2783,0.65,0.01,0.02,0.09,2
2784,0.52,0.01,0.01,0.01,2
2785,0.16,0.01,0.01,0.6,12
2786,0.68,0.12,0.01,0.02,2
2787,0.62,0.02,0.02,0.04,2
2788,0.2,0.02,0.03,0.55,12
2789,0.6,0.05,0.02,0.02,2
2790,0.53,0.01,0.19,0.11,2
2791,0.5,0.03,0.02,0.02,2
2792,0.36,0.05,0.06,0.04,2
2793,0.66,0.02,0.02,0.04,2
2794,0.53,0.02,0.02,0.19,2
2795,0.18,0.04,0.04,0.06,2
2796,0.54,0.03,0.02,0.03,2
2797,0.58,0.03,0.02,0.06,2
2798,0.56,0.02,0.02,0.11,2
2799,0.7,0.05,0.02,0.03,2
2800,0.64,0.03,0.02,0.02,2
2801,0.57,0.02,0.02,0.13,2
2802,0.52,0.03,0.03,0.05,2
2803,0.52,0.01,0.24,0.03,2
2804,0.39,0.03,0.03,0.04,2
2805,0.84,0.01,0.01,0.01,2
2806,0.62,0.02,0.02,0.02,2
2807,0.6,0.01,0.26,0.01,2
2808,0.07,0.03,0.03,0.34,12
2809,0.44,0.01,0.01,0.4,2
2810,0.58,0.02,0.03,0.07,2
2811,0.82,0.01,0.02,0.01,2
2812,0.53,0.03,0.04,0.03,2
2813,0.58,0.06,0.02,0.04,2
2814,0.67,0.02,0.02,0.02,2
2815,0.26,0.04,0.04,0.06,2
2816,0.67,0.02,0.03,0.03,2
2817,0.37,0.01,0.01,0.43,12
2818,0.32,0.03,0.03,0.18,2
2819,0.57,0.01,0.01,0.19,2
2820,0.35,0.02,0.02,0.31,2
2821,0.56,0.02,0.02,0.04,2
2822,0.79,0.03,0.01,0.01,2
2823,0.04,0.04,0.04,0.29,12
2824,0.59,0.03,0.02,0.03,2
2825,0.55,0.07,0.02,0.05,2
2826,0.45,0.03,0.03,0.03,2
2827,0.2,0.04,0.04,0.04,2
2828,0.79,0.02,0.02,0.01,2
2829,0.25,0.03,0.03,0.19,2
2830,0.64,0.02,0.01,0.09,2
2831,0.73,0.06,0.01,0.03,2
2832,0.06,0.04,0.05,0.4,12
2833,0.29,0.03,0.02,0.26,2
2834,0.26,0.07,0.03,0.17,2
2835,0.51,0.02,0.03,0.06,2
2836,0.46,0.03,0.03,0.03,2
2837,0.76,0.01,0.01,0.02,2
2838,0.83,0.02,0.01,0.02,2
2839,0.75,0.01,0.01,0.04,2
