Unnamed: 0,1: Halo 2,2: Limited Editions,3: Madden,8: Controller,9: Kinect,Dom_Topic
17006,0.02,0.01,0.92,0.01,0.01,3
17007,0.1,0.02,0.72,0.04,0.02,3
17008,0.05,0.03,0.73,0.03,0.03,3
17009,0.13,0.04,0.57,0.05,0.04,3
17011,0.11,0.06,0.45,0.08,0.05,3
18738,0.52,0.02,0.32,0.03,0.02,1
18739,0.57,0.04,0.08,0.09,0.04,1
18741,0.65,0.03,0.07,0.06,0.03,1
18743,0.79,0.02,0.05,0.02,0.02,1
18744,0.43,0.05,0.11,0.12,0.05,1
18745,0.57,0.11,0.07,0.04,0.03,1
18746,0.81,0.02,0.03,0.02,0.02,1
18747,0.74,0.02,0.05,0.07,0.02,1
18748,0.53,0.05,0.16,0.05,0.03,1
18749,0.78,0.03,0.04,0.02,0.02,1
18751,0.14,0.02,0.04,0.02,0.02,5
18753,0.74,0.02,0.07,0.03,0.02,1
18754,0.77,0.02,0.04,0.03,0.02,1
18755,0.89,0.01,0.02,0.02,0.01,1
18756,0.26,0.09,0.09,0.11,0.07,1
18757,0.86,0.02,0.03,0.02,0.01,1
18758,0.46,0.03,0.06,0.04,0.03,1
18759,0.79,0.02,0.04,0.05,0.02,1
18762,0.4,0.06,0.13,0.1,0.05,1
18764,0.54,0.05,0.15,0.06,0.03,1
18766,0.87,0.01,0.03,0.01,0.01,1
18767,0.75,0.03,0.05,0.02,0.02,1
18768,0.17,0.09,0.11,0.08,0.09,1
18769,0.79,0.02,0.04,0.02,0.02,1
18770,0.72,0.03,0.05,0.03,0.03,1
18772,0.48,0.03,0.05,0.03,0.03,1
18773,0.52,0.02,0.32,0.03,0.02,1
18774,0.57,0.04,0.08,0.09,0.04,1
18776,0.65,0.03,0.07,0.06,0.03,1
18778,0.79,0.02,0.05,0.02,0.02,1
18779,0.43,0.05,0.11,0.12,0.05,1
18780,0.57,0.11,0.07,0.04,0.03,1
18781,0.81,0.02,0.03,0.02,0.02,1
18782,0.74,0.02,0.05,0.07,0.02,1
18783,0.53,0.05,0.16,0.05,0.03,1
18784,0.78,0.03,0.04,0.02,0.02,1
18786,0.14,0.02,0.04,0.02,0.02,5
18788,0.74,0.02,0.07,0.03,0.02,1
18789,0.77,0.02,0.04,0.03,0.02,1
18790,0.89,0.01,0.02,0.02,0.01,1
18791,0.26,0.09,0.09,0.11,0.07,1
18792,0.86,0.02,0.03,0.02,0.01,1
18793,0.46,0.03,0.06,0.04,0.03,1
18794,0.79,0.02,0.04,0.05,0.02,1
18797,0.4,0.06,0.13,0.1,0.05,1
18799,0.54,0.05,0.15,0.06,0.03,1
18801,0.87,0.01,0.03,0.01,0.01,1
18802,0.75,0.03,0.05,0.02,0.02,1
18803,0.17,0.09,0.11,0.08,0.09,1
18804,0.79,0.02,0.04,0.02,0.02,1
18805,0.72,0.03,0.05,0.03,0.03,1
18807,0.48,0.03,0.05,0.03,0.03,1
19863,0.19,0.09,0.11,0.09,0.08,1
19865,0.33,0.07,0.12,0.05,0.04,1
19867,0.26,0.05,0.22,0.09,0.06,1
19870,0.37,0.05,0.06,0.06,0.05,1
19872,0.19,0.09,0.11,0.09,0.08,1
19874,0.33,0.07,0.12,0.05,0.04,1
19876,0.26,0.05,0.22,0.09,0.06,1
19879,0.37,0.05,0.06,0.06,0.05,1
20732,0.17,0.07,0.1,0.29,0.06,8
20734,0.78,0.02,0.04,0.02,0.02,1
20735,0.85,0.02,0.02,0.03,0.01,1
20736,0.8,0.02,0.03,0.03,0.02,1
20737,0.88,0.01,0.01,0.06,0.01,1
20738,0.26,0.05,0.08,0.35,0.04,8
20740,0.51,0.02,0.04,0.29,0.02,1
20741,0.85,0.01,0.03,0.02,0.02,1
20742,0.88,0.01,0.03,0.02,0.01,1
20743,0.29,0.04,0.1,0.11,0.05,1
20744,0.17,0.07,0.1,0.29,0.06,8
20746,0.78,0.02,0.04,0.02,0.02,1
20747,0.85,0.02,0.02,0.03,0.01,1
20748,0.8,0.02,0.03,0.03,0.02,1
20749,0.88,0.01,0.01,0.06,0.01,1
20750,0.26,0.05,0.08,0.35,0.04,8
20752,0.51,0.02,0.04,0.29,0.02,1
20753,0.85,0.01,0.03,0.02,0.02,1
20754,0.88,0.01,0.03,0.02,0.01,1
20755,0.29,0.04,0.1,0.11,0.05,1
24566,0.02,0.01,0.9,0.01,0.01,3
24568,0.14,0.03,0.59,0.06,0.03,3
24570,0.1,0.05,0.47,0.07,0.05,3
24571,0.06,0.03,0.73,0.03,0.03,3
24572,0.02,0.01,0.9,0.01,0.01,3
24574,0.14,0.03,0.59,0.06,0.03,3
24576,0.1,0.05,0.47,0.07,0.05,3
24577,0.06,0.03,0.73,0.03,0.03,3
24578,0.49,0.03,0.26,0.04,0.03,1
24579,0.86,0.01,0.08,0.02,0.01,1
24580,0.81,0.02,0.06,0.02,0.02,1
24581,0.79,0.02,0.05,0.03,0.02,1
24582,0.77,0.02,0.07,0.03,0.02,1
24584,0.48,0.05,0.12,0.06,0.05,1
24585,0.38,0.05,0.23,0.05,0.05,1
24586,0.42,0.04,0.26,0.03,0.03,1
24587,0.79,0.02,0.06,0.02,0.02,1
24588,0.7,0.02,0.13,0.06,0.02,1
24590,0.55,0.04,0.14,0.04,0.04,1
24591,0.49,0.03,0.26,0.04,0.03,1
24592,0.86,0.01,0.08,0.02,0.01,1
24593,0.81,0.02,0.06,0.02,0.02,1
24594,0.79,0.02,0.05,0.03,0.02,1
24595,0.77,0.02,0.07,0.03,0.02,1
24597,0.48,0.05,0.12,0.06,0.05,1
24598,0.38,0.05,0.23,0.05,0.05,1
24599,0.42,0.04,0.26,0.03,0.03,1
24600,0.79,0.02,0.06,0.02,0.02,1
24601,0.7,0.02,0.13,0.06,0.02,1
24603,0.55,0.04,0.14,0.04,0.04,1
24604,0.55,0.05,0.08,0.05,0.04,1
24605,0.17,0.02,0.09,0.03,0.02,4
24606,0.84,0.01,0.04,0.02,0.02,1
24607,0.8,0.02,0.06,0.02,0.02,1
24608,0.3,0.04,0.14,0.05,0.04,1
24609,0.17,0.08,0.14,0.09,0.08,1
24610,0.29,0.07,0.14,0.11,0.07,1
24611,0.91,0.01,0.02,0.01,0.01,1
24612,0.46,0.04,0.11,0.07,0.05,1
24613,0.58,0.02,0.03,0.06,0.02,1
24614,0.4,0.05,0.17,0.08,0.05,1
24615,0.55,0.05,0.08,0.05,0.04,1
24616,0.17,0.02,0.09,0.03,0.02,4
24617,0.84,0.01,0.04,0.02,0.02,1
24618,0.8,0.02,0.06,0.02,0.02,1
24619,0.3,0.04,0.14,0.05,0.04,1
24620,0.17,0.08,0.14,0.09,0.08,1
24621,0.29,0.07,0.14,0.11,0.07,1
24622,0.91,0.01,0.02,0.01,0.01,1
24623,0.46,0.04,0.11,0.07,0.05,1
24624,0.58,0.02,0.03,0.06,0.02,1
24625,0.4,0.05,0.17,0.08,0.05,1
25598,0.55,0.03,0.16,0.04,0.03,1
25599,0.15,0.05,0.31,0.07,0.05,3
25600,0.78,0.01,0.09,0.02,0.02,1
25601,0.76,0.02,0.07,0.02,0.02,1
25602,0.64,0.03,0.11,0.04,0.03,1
25603,0.55,0.03,0.16,0.04,0.03,1
25604,0.15,0.05,0.31,0.07,0.05,3
25605,0.78,0.01,0.09,0.02,0.02,1
25606,0.76,0.02,0.07,0.02,0.02,1
25607,0.64,0.03,0.11,0.04,0.03,1
26428,0.93,0.01,0.01,0.01,0.01,1
26429,0.72,0.03,0.04,0.03,0.03,1
26430,0.28,0.07,0.16,0.12,0.06,1
26431,0.48,0.05,0.09,0.06,0.05,1
26432,0.89,0.01,0.02,0.02,0.01,1
26433,0.81,0.02,0.03,0.02,0.02,1
26434,0.93,0.01,0.01,0.01,0.01,1
26435,0.72,0.03,0.04,0.03,0.03,1
26436,0.28,0.07,0.16,0.12,0.06,1
26437,0.48,0.05,0.09,0.06,0.05,1
26438,0.89,0.01,0.02,0.02,0.01,1
26439,0.81,0.02,0.03,0.02,0.02,1
27902,0.92,0.01,0.01,0.02,0.01,1
27903,0.47,0.21,0.06,0.05,0.03,1
27904,0.63,0.06,0.05,0.03,0.04,1
27905,0.62,0.04,0.06,0.07,0.03,1
27906,0.16,0.27,0.07,0.19,0.05,2
27909,0.24,0.17,0.1,0.09,0.08,1
27910,0.07,0.36,0.07,0.13,0.06,2
27911,0.75,0.02,0.05,0.09,0.02,1
27912,0.93,0.01,0.01,0.01,0.01,1
27913,0.78,0.03,0.03,0.05,0.02,1
27915,0.74,0.03,0.04,0.03,0.02,1
27916,0.87,0.02,0.02,0.02,0.01,1
27917,0.78,0.03,0.03,0.03,0.02,1
