Unnamed: 0,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Dom_Topic
65145,0.03,0.12,0.03,0.04,0.03,0.03,0.06,0.03,0.03,0.06,0.03,0.03,0.1,0.06,0.17,0.05,0.03,0.03,0.03,14
65146,0.05,0.02,0.02,0.41,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.04,0.06,0.18,0.02,0.02,0.02,0.02,0.02,3
65147,0.1,0.13,0.03,0.07,0.05,0.03,0.03,0.03,0.03,0.06,0.03,0.07,0.04,0.04,0.15,0.03,0.03,0.03,0.03,14
65148,0.09,0.1,0.05,0.05,0.06,0.03,0.03,0.03,0.03,0.06,0.03,0.15,0.03,0.11,0.03,0.03,0.03,0.03,0.05,11
65149,0.03,0.11,0.03,0.04,0.07,0.03,0.03,0.03,0.03,0.07,0.03,0.03,0.14,0.04,0.14,0.03,0.03,0.03,0.03,12
65150,0.05,0.03,0.03,0.03,0.06,0.03,0.04,0.07,0.03,0.03,0.03,0.03,0.09,0.19,0.1,0.03,0.03,0.03,0.06,13
65151,0.09,0.1,0.03,0.03,0.07,0.03,0.03,0.03,0.03,0.03,0.03,0.08,0.09,0.06,0.09,0.07,0.03,0.03,0.03,1
65152,0.04,0.09,0.02,0.16,0.04,0.02,0.11,0.02,0.02,0.02,0.02,0.14,0.14,0.05,0.02,0.02,0.02,0.02,0.02,3
65153,0.11,0.09,0.02,0.03,0.05,0.02,0.17,0.02,0.02,0.02,0.02,0.03,0.16,0.03,0.12,0.04,0.02,0.02,0.02,6
65154,0.03,0.02,0.02,0.3,0.03,0.03,0.06,0.03,0.03,0.08,0.02,0.13,0.03,0.02,0.02,0.03,0.03,0.03,0.06,3
65155,0.07,0.05,0.01,0.42,0.01,0.02,0.01,0.03,0.01,0.08,0.01,0.1,0.01,0.08,0.03,0.01,0.01,0.01,0.01,3
65156,0.12,0.18,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.1,0.13,0.13,0.04,0.02,0.02,0.02,0.02,1
65157,0.08,0.03,0.03,0.05,0.04,0.03,0.06,0.03,0.03,0.09,0.03,0.09,0.09,0.11,0.05,0.03,0.03,0.03,0.03,13
65158,0.04,0.15,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.14,0.03,0.11,0.08,0.05,0.09,0.03,0.03,0.03,0.03,1
65159,0.03,0.1,0.03,0.08,0.05,0.04,0.05,0.03,0.03,0.08,0.03,0.07,0.17,0.03,0.03,0.03,0.03,0.03,0.03,12
65160,0.07,0.07,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0.12,0.04,0.07,0.04,0.05,0.07,0.04,0.04,0.04,0.08,9
65161,0.04,0.14,0.02,0.06,0.02,0.02,0.08,0.02,0.02,0.02,0.02,0.19,0.08,0.2,0.02,0.02,0.02,0.02,0.02,13
65162,0.08,0.03,0.03,0.29,0.03,0.03,0.04,0.03,0.03,0.05,0.03,0.1,0.03,0.05,0.05,0.03,0.03,0.03,0.03,3
65163,0.03,0.12,0.03,0.22,0.04,0.03,0.04,0.03,0.03,0.05,0.05,0.05,0.03,0.1,0.05,0.03,0.03,0.03,0.03,3
65164,0.03,0.13,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.07,0.03,0.03,0.12,0.15,0.13,0.02,0.03,0.03,0.03,13
65165,0.03,0.09,0.03,0.03,0.13,0.03,0.03,0.03,0.03,0.07,0.03,0.06,0.07,0.13,0.07,0.03,0.03,0.03,0.03,4
65166,0.02,0.1,0.02,0.04,0.05,0.06,0.05,0.03,0.03,0.02,0.03,0.12,0.18,0.03,0.02,0.11,0.03,0.03,0.02,12
65167,0.06,0.05,0.02,0.17,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.26,0.11,0.02,0.09,0.02,0.02,0.02,12
65168,0.06,0.14,0.03,0.08,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.06,0.04,0.08,0.08,0.07,0.03,0.03,0.07,1
65169,0.05,0.11,0.03,0.15,0.03,0.02,0.04,0.02,0.02,0.02,0.02,0.12,0.03,0.03,0.2,0.02,0.02,0.02,0.02,14
65170,0.08,0.03,0.03,0.05,0.03,0.07,0.05,0.03,0.03,0.04,0.03,0.17,0.14,0.06,0.03,0.04,0.03,0.03,0.03,11
65171,0.03,0.03,0.03,0.34,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.08,0.03,0.07,0.09,0.03,0.03,0.03,0.03,3
65172,0.08,0.07,0.01,0.24,0.1,0.01,0.08,0.01,0.01,0.04,0.01,0.02,0.12,0.13,0.03,0.01,0.01,0.01,0.01,3
65173,0.11,0.09,0.02,0.19,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.09,0.16,0.05,0.07,0.02,0.02,0.02,0.02,3
65174,0.03,0.18,0.03,0.06,0.14,0.02,0.12,0.01,0.01,0.04,0.01,0.01,0.13,0.12,0.02,0.02,0.01,0.01,0.01,1
65175,0.04,0.1,0.03,0.06,0.13,0.03,0.1,0.03,0.03,0.03,0.03,0.05,0.12,0.07,0.05,0.03,0.03,0.03,0.03,4
65176,0.08,0.11,0.01,0.12,0.04,0.01,0.05,0.01,0.01,0.01,0.03,0.01,0.33,0.06,0.05,0.02,0.01,0.01,0.01,12
65177,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.11,0.21,0.15,0.03,0.03,0.03,0.03,13
65178,0.02,0.07,0.02,0.34,0.02,0.02,0.07,0.02,0.02,0.03,0.02,0.09,0.02,0.03,0.08,0.02,0.02,0.02,0.02,3
65179,0.04,0.25,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.07,0.04,0.04,0.04,0.08,1
65180,0.03,0.13,0.02,0.17,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.13,0.07,0.1,0.14,0.02,0.02,0.02,0.02,3
65181,0.02,0.14,0.06,0.04,0.07,0.02,0.06,0.02,0.02,0.06,0.02,0.06,0.05,0.17,0.04,0.09,0.02,0.02,0.02,13
65182,0.13,0.08,0.02,0.23,0.06,0.02,0.06,0.02,0.02,0.03,0.02,0.16,0.03,0.02,0.02,0.02,0.02,0.02,0.02,3
65183,0.03,0.14,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.13,0.12,0.03,0.08,0.03,0.03,0.03,0.07,1
65184,0.06,0.13,0.04,0.04,0.04,0.04,0.07,0.04,0.04,0.08,0.04,0.05,0.12,0.04,0.04,0.04,0.04,0.04,0.04,1
65185,0.09,0.08,0.02,0.16,0.03,0.02,0.09,0.02,0.02,0.03,0.03,0.19,0.03,0.03,0.06,0.03,0.03,0.03,0.02,11
65186,0.02,0.09,0.02,0.12,0.07,0.02,0.25,0.02,0.02,0.02,0.02,0.04,0.12,0.05,0.04,0.02,0.02,0.02,0.04,6
65187,0.1,0.01,0.01,0.26,0.03,0.03,0.07,0.01,0.01,0.03,0.02,0.14,0.06,0.08,0.01,0.09,0.01,0.01,0.03,3
65188,0.13,0.1,0.01,0.22,0.02,0.02,0.04,0.01,0.01,0.05,0.01,0.06,0.1,0.08,0.1,0.01,0.01,0.01,0.01,3
65189,0.13,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.04,0.03,0.03,0.14,0.03,0.09,0.1,0.04,0.03,0.03,0.05,11
65190,0.03,0.03,0.03,0.07,0.06,0.06,0.03,0.03,0.03,0.03,0.03,0.23,0.03,0.04,0.17,0.03,0.03,0.03,0.03,11
65191,0.03,0.12,0.03,0.05,0.07,0.06,0.08,0.03,0.03,0.08,0.03,0.11,0.04,0.03,0.1,0.03,0.03,0.03,0.03,1
65192,0.04,0.04,0.05,0.05,0.04,0.05,0.07,0.05,0.05,0.11,0.05,0.09,0.04,0.04,0.04,0.05,0.05,0.05,0.05,9
65193,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
65194,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.15,0.05,0.05,0.05,0.05,14
65195,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
65196,0.03,0.03,0.03,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.15,0.15,0.18,0.06,0.03,0.03,0.03,14
65197,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,11
65198,0.03,0.14,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.03,0.1,0.13,0.04,0.03,0.04,0.04,0.07,1
65199,0.06,0.08,0.02,0.26,0.02,0.01,0.15,0.01,0.01,0.03,0.02,0.04,0.13,0.02,0.06,0.02,0.01,0.01,0.03,3
65200,0.06,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.41,0.07,0.02,0.02,0.03,0.03,0.03,0.03,11
65201,0.02,0.02,0.02,0.05,0.02,0.02,0.25,0.02,0.02,0.04,0.02,0.03,0.08,0.13,0.13,0.05,0.02,0.02,0.02,6
65202,0.19,0.03,0.02,0.17,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.11,0.1,0.12,0.03,0.02,0.02,0.02,0
65203,0.06,0.17,0.03,0.07,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.13,0.1,0.06,0.03,0.03,0.03,0.06,1
65204,0.11,0.08,0.02,0.03,0.02,0.04,0.07,0.02,0.02,0.05,0.02,0.28,0.1,0.02,0.02,0.04,0.02,0.02,0.02,11
