Unnamed: 0,Topic0: Waste of money,Topic2: Problemas de funcionamiento,Topic6: Falta de metodos de importacion de datos,Topic8: Falta de funciones y de opciones de calidad de vida,Topic12:  Problemas Intalacion nueva version,Dom_Topic
5497,0.03,0.41,0.03,0.03,0.04,2
5498,0.02,0.59,0.02,0.02,0.12,2
5499,0.03,0.46,0.06,0.02,0.03,2
5500,0.02,0.55,0.07,0.04,0.05,2
5501,0.03,0.2,0.03,0.03,0.2,2
5502,0.01,0.62,0.07,0.01,0.11,2
5503,0.02,0.41,0.03,0.07,0.1,2
5504,0.01,0.71,0.04,0.01,0.03,2
5505,0.04,0.3,0.04,0.04,0.04,2
5506,0.02,0.58,0.02,0.02,0.1,2
5507,0.02,0.64,0.02,0.02,0.02,2
5508,0.01,0.61,0.01,0.01,0.18,2
5509,0.03,0.29,0.05,0.04,0.06,2
5510,0.02,0.62,0.02,0.02,0.05,2
5511,0.01,0.73,0.01,0.02,0.02,2
5512,0.02,0.55,0.02,0.02,0.03,2
5513,0.01,0.63,0.06,0.01,0.06,2
5514,0.03,0.44,0.03,0.05,0.04,2
5515,0.01,0.69,0.01,0.01,0.15,2
5516,0.03,0.31,0.03,0.04,0.14,2
5517,0.02,0.54,0.1,0.03,0.03,2
5518,0.02,0.56,0.02,0.05,0.03,2
5519,0.02,0.62,0.02,0.02,0.02,2
5520,0.01,0.53,0.21,0.01,0.02,2
5521,0.01,0.76,0.01,0.1,0.02,2
5522,0.04,0.05,0.04,0.05,0.27,12
5523,0.03,0.32,0.03,0.03,0.12,2
5524,0.04,0.26,0.11,0.03,0.03,2
5525,0.03,0.35,0.03,0.05,0.04,2
5526,0.02,0.49,0.12,0.02,0.08,2
5527,0.03,0.25,0.04,0.1,0.06,2
5528,0.01,0.7,0.01,0.03,0.03,2
5529,0.01,0.7,0.03,0.01,0.05,2
5530,0.02,0.29,0.02,0.02,0.3,12
5531,0.02,0.57,0.02,0.02,0.03,2
5532,0.04,0.16,0.04,0.04,0.14,2
5533,0.02,0.56,0.02,0.02,0.02,2
5534,0.02,0.25,0.04,0.03,0.31,12
5535,0.02,0.57,0.03,0.02,0.07,2
5536,0.02,0.54,0.02,0.02,0.03,2
5537,0.03,0.41,0.04,0.04,0.03,2
5538,0.01,0.69,0.03,0.02,0.08,2
5539,0.01,0.66,0.01,0.02,0.11,2
5540,0.02,0.47,0.08,0.1,0.02,2
5541,0.05,0.12,0.05,0.05,0.05,2
5542,0.02,0.64,0.02,0.02,0.02,2
5543,0.02,0.58,0.02,0.09,0.02,2
5544,0.03,0.32,0.04,0.05,0.06,2
5545,0.02,0.58,0.02,0.02,0.05,2
5546,0.03,0.32,0.07,0.03,0.08,2
5547,0.01,0.83,0.04,0.01,0.01,2
5548,0.04,0.06,0.04,0.04,0.26,12
5549,0.01,0.72,0.13,0.01,0.02,2
5550,0.03,0.45,0.04,0.03,0.02,2
5551,0.04,0.27,0.04,0.04,0.04,2
5552,0.01,0.72,0.01,0.01,0.02,2
5553,0.03,0.5,0.03,0.03,0.03,2
5554,0.04,0.09,0.04,0.1,0.04,8
5555,0.02,0.5,0.02,0.04,0.04,2
5556,0.01,0.61,0.02,0.01,0.16,2
