Unnamed: 0,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18
11718,0.02,0.29,0.07,0.03,0.04,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.07,0.04,0.17,0.03,0.06
11719,0.03,0.04,0.02,0.02,0.02,0.01,0.17,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.08,0.01,0.41,0.02,0.04
11720,0.01,0.14,0.07,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.02,0.56,0.01,0.02
11721,0.02,0.04,0.04,0.04,0.02,0.02,0.03,0.02,0.02,0.06,0.02,0.05,0.02,0.07,0.02,0.02,0.48,0.02,0.04
11722,0.02,0.16,0.19,0.02,0.02,0.02,0.02,0.02,0.02,0.06,0.02,0.03,0.02,0.02,0.02,0.02,0.29,0.02,0.02
11723,0.04,0.08,0.19,0.09,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.03,0.14,0.03,0.07,0.03,0.06
11724,0.16,0.01,0.05,0.04,0.01,0.01,0.14,0.0,0.0,0.04,0.01,0.03,0.03,0.03,0.0,0.06,0.33,0.0,0.03
11725,0.03,0.15,0.06,0.02,0.02,0.02,0.03,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.07,0.02,0.38,0.02,0.02
11726,0.02,0.24,0.05,0.11,0.03,0.05,0.14,0.02,0.02,0.03,0.02,0.02,0.02,0.07,0.04,0.03,0.06,0.02,0.02
11727,0.05,0.24,0.02,0.07,0.01,0.01,0.13,0.01,0.01,0.04,0.01,0.04,0.03,0.05,0.04,0.01,0.2,0.01,0.01
11728,0.03,0.02,0.12,0.06,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.03,0.02,0.48,0.01,0.06
11729,0.02,0.2,0.08,0.06,0.02,0.02,0.04,0.06,0.02,0.02,0.05,0.02,0.02,0.03,0.08,0.02,0.22,0.02,0.02
11730,0.04,0.25,0.09,0.08,0.01,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.06,0.3,0.01,0.02
11731,0.03,0.05,0.01,0.15,0.01,0.01,0.07,0.02,0.01,0.03,0.02,0.02,0.02,0.26,0.17,0.02,0.07,0.01,0.01
11732,0.03,0.04,0.02,0.32,0.02,0.02,0.19,0.02,0.02,0.02,0.02,0.03,0.08,0.02,0.05,0.02,0.03,0.02,0.02
11733,0.05,0.05,0.06,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
11734,0.04,0.14,0.02,0.03,0.02,0.02,0.04,0.02,0.02,0.02,0.03,0.16,0.03,0.02,0.04,0.02,0.23,0.02,0.07
11735,0.05,0.1,0.16,0.02,0.02,0.05,0.04,0.02,0.02,0.02,0.04,0.03,0.03,0.02,0.07,0.02,0.27,0.02,0.02
11736,0.01,0.18,0.15,0.01,0.01,0.01,0.03,0.01,0.01,0.08,0.01,0.12,0.02,0.01,0.05,0.01,0.22,0.01,0.05
11737,0.02,0.29,0.04,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.03,0.06,0.02,0.01,0.01,0.03,0.38,0.04,0.01
11738,0.02,0.03,0.04,0.06,0.01,0.01,0.28,0.03,0.01,0.01,0.02,0.02,0.02,0.05,0.07,0.01,0.15,0.01,0.14
11739,0.01,0.27,0.02,0.01,0.01,0.01,0.06,0.01,0.01,0.01,0.01,0.04,0.03,0.07,0.04,0.02,0.33,0.01,0.01
11740,0.03,0.1,0.04,0.01,0.0,0.0,0.02,0.01,0.0,0.03,0.02,0.09,0.0,0.01,0.01,0.03,0.57,0.0,0.02
