Unnamed: 0,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18
14502,0.03,0.04,0.04,0.06,0.03,0.03,0.05,0.03,0.03,0.05,0.05,0.04,0.18,0.12,0.03,0.03,0.06,0.03,0.04
14503,0.04,0.04,0.07,0.05,0.04,0.04,0.07,0.04,0.04,0.04,0.04,0.04,0.19,0.04,0.04,0.04,0.04,0.04,0.08
14504,0.03,0.16,0.03,0.17,0.03,0.04,0.06,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.03,0.06,0.04,0.03
14505,0.04,0.07,0.12,0.04,0.03,0.03,0.05,0.04,0.03,0.04,0.04,0.05,0.15,0.05,0.04,0.04,0.04,0.03,0.07
14506,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.09,0.03,0.03,0.03,0.12,0.29,0.03,0.03,0.03,0.03,0.03,0.03
14507,0.04,0.04,0.04,0.04,0.04,0.04,0.09,0.04,0.04,0.04,0.04,0.06,0.2,0.04,0.04,0.04,0.04,0.04,0.04
14508,0.09,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.06,0.22,0.06,0.1,0.12,0.03,0.03,0.03
14509,0.04,0.04,0.07,0.04,0.04,0.04,0.08,0.04,0.04,0.09,0.04,0.04,0.04,0.08,0.15,0.04,0.04,0.04,0.04
14510,0.04,0.15,0.04,0.1,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.05,0.04,0.11,0.05,0.04
14511,0.03,0.24,0.03,0.02,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.21,0.03,0.02,0.03,0.03,0.05,0.05
14512,0.07,0.21,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.33,0.02,0.06,0.02,0.03,0.02,0.04
14513,0.06,0.03,0.1,0.14,0.03,0.03,0.04,0.1,0.03,0.03,0.09,0.06,0.06,0.03,0.03,0.03,0.08,0.03,0.03
14514,0.05,0.09,0.02,0.02,0.02,0.02,0.09,0.04,0.02,0.02,0.03,0.02,0.47,0.02,0.02,0.02,0.03,0.02,0.02
14515,0.04,0.12,0.02,0.35,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.16,0.05,0.06,0.02,0.02,0.02,0.02
14516,0.2,0.05,0.02,0.02,0.02,0.02,0.09,0.02,0.02,0.09,0.02,0.02,0.21,0.02,0.02,0.02,0.03,0.06,0.06
14517,0.12,0.1,0.02,0.01,0.02,0.02,0.1,0.02,0.02,0.04,0.02,0.02,0.4,0.02,0.01,0.03,0.02,0.02,0.02
14518,0.03,0.38,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.04,0.03,0.03,0.03,0.03
14519,0.04,0.08,0.03,0.09,0.03,0.03,0.12,0.03,0.04,0.03,0.03,0.03,0.21,0.03,0.08,0.03,0.04,0.03,0.03
14520,0.02,0.2,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.02,0.02,0.01,0.26,0.08,0.01,0.02,0.19,0.01,0.05
14521,0.01,0.02,0.02,0.01,0.01,0.01,0.03,0.01,0.01,0.12,0.01,0.01,0.27,0.24,0.01,0.01,0.19,0.01,0.01
14522,0.06,0.24,0.02,0.1,0.02,0.02,0.07,0.02,0.04,0.04,0.03,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.03
14523,0.02,0.05,0.02,0.07,0.02,0.02,0.09,0.02,0.03,0.02,0.02,0.02,0.2,0.18,0.15,0.04,0.02,0.02,0.02
14524,0.02,0.32,0.05,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.2,0.07,0.02,0.02,0.08,0.02,0.02
14525,0.11,0.07,0.01,0.09,0.01,0.01,0.02,0.01,0.01,0.04,0.01,0.03,0.45,0.06,0.03,0.01,0.02,0.01,0.02
14526,0.08,0.25,0.01,0.01,0.01,0.01,0.01,0.18,0.01,0.01,0.01,0.01,0.27,0.02,0.01,0.01,0.05,0.01,0.04
14527,0.03,0.11,0.02,0.19,0.02,0.02,0.08,0.05,0.02,0.04,0.02,0.03,0.17,0.03,0.05,0.02,0.03,0.02,0.02
14528,0.07,0.09,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.04,0.02,0.03,0.3,0.1,0.05,0.04,0.03,0.02,0.06
14529,0.04,0.03,0.05,0.21,0.03,0.03,0.04,0.06,0.03,0.03,0.03,0.09,0.14,0.03,0.03,0.03,0.04,0.03,0.06
14530,0.27,0.06,0.01,0.04,0.01,0.01,0.03,0.01,0.01,0.01,0.02,0.04,0.29,0.02,0.01,0.02,0.07,0.01,0.04
14531,0.18,0.36,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.03,0.1,0.01,0.03,0.01,0.06,0.01,0.02
14532,0.25,0.02,0.12,0.05,0.02,0.02,0.02,0.02,0.02,0.03,0.05,0.04,0.19,0.04,0.04,0.02,0.03,0.02,0.02
14533,0.07,0.04,0.03,0.09,0.03,0.03,0.04,0.03,0.03,0.03,0.04,0.03,0.25,0.06,0.06,0.03,0.04,0.03,0.03
14534,0.06,0.02,0.05,0.02,0.02,0.02,0.03,0.02,0.05,0.02,0.02,0.04,0.32,0.05,0.16,0.02,0.03,0.02,0.02
14535,0.04,0.04,0.06,0.03,0.04,0.04,0.11,0.04,0.03,0.03,0.06,0.04,0.04,0.03,0.17,0.04,0.06,0.06,0.04
14536,0.03,0.02,0.05,0.02,0.02,0.02,0.04,0.02,0.03,0.02,0.02,0.02,0.19,0.15,0.26,0.03,0.02,0.02,0.02
14537,0.02,0.16,0.03,0.02,0.05,0.01,0.04,0.01,0.01,0.02,0.03,0.02,0.41,0.01,0.02,0.02,0.02,0.02,0.07
14538,0.04,0.13,0.13,0.04,0.07,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.05,0.05,0.1,0.03,0.04,0.03,0.03
14539,0.11,0.3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.31,0.04,0.01,0.01,0.07,0.01,0.01
14540,0.03,0.11,0.03,0.07,0.04,0.04,0.03,0.07,0.04,0.03,0.03,0.04,0.13,0.04,0.11,0.04,0.04,0.04,0.03
14541,0.05,0.09,0.16,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.03,0.24,0.02,0.08,0.05,0.03,0.02,0.03
14542,0.03,0.03,0.06,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.1,0.3,0.07,0.05,0.03,0.04,0.03,0.05
14543,0.02,0.35,0.01,0.03,0.01,0.03,0.02,0.02,0.01,0.01,0.03,0.01,0.26,0.01,0.06,0.01,0.03,0.02,0.03
14544,0.24,0.09,0.03,0.06,0.04,0.02,0.04,0.02,0.04,0.02,0.04,0.02,0.15,0.03,0.04,0.02,0.04,0.02,0.02
14545,0.03,0.27,0.05,0.03,0.07,0.03,0.04,0.03,0.03,0.04,0.03,0.04,0.04,0.08,0.04,0.03,0.04,0.03,0.03
14546,0.05,0.24,0.01,0.02,0.01,0.01,0.05,0.01,0.06,0.01,0.01,0.08,0.1,0.12,0.13,0.03,0.02,0.01,0.01
14547,0.27,0.12,0.02,0.01,0.01,0.01,0.07,0.02,0.01,0.03,0.06,0.02,0.13,0.02,0.04,0.01,0.03,0.01,0.1
14548,0.03,0.33,0.03,0.03,0.03,0.03,0.06,0.03,0.05,0.03,0.03,0.04,0.03,0.06,0.05,0.04,0.05,0.03,0.05
14549,0.02,0.16,0.03,0.3,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.14,0.08,0.02,0.02,0.02,0.03
14550,0.02,0.03,0.08,0.18,0.02,0.02,0.16,0.02,0.02,0.03,0.02,0.04,0.03,0.06,0.15,0.03,0.03,0.03,0.02
14551,0.03,0.04,0.02,0.39,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.12,0.12,0.08,0.03,0.02,0.02,0.02
14552,0.03,0.13,0.05,0.07,0.02,0.02,0.03,0.02,0.02,0.06,0.02,0.02,0.31,0.02,0.04,0.02,0.04,0.02,0.04
14553,0.09,0.19,0.11,0.01,0.01,0.03,0.05,0.01,0.01,0.01,0.04,0.05,0.28,0.02,0.03,0.01,0.01,0.01,0.01
14554,0.06,0.56,0.01,0.01,0.02,0.01,0.03,0.02,0.01,0.02,0.02,0.01,0.11,0.01,0.01,0.03,0.01,0.01,0.01
14555,0.02,0.02,0.04,0.06,0.02,0.02,0.1,0.02,0.02,0.03,0.02,0.02,0.17,0.14,0.12,0.03,0.06,0.02,0.09
14556,0.03,0.25,0.03,0.04,0.03,0.03,0.06,0.03,0.03,0.03,0.03,0.03,0.2,0.03,0.06,0.03,0.03,0.03,0.03
14557,0.01,0.21,0.04,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.38,0.03,0.06,0.02,0.02,0.02,0.02
14558,0.03,0.69,0.02,0.01,0.01,0.01,0.04,0.02,0.01,0.01,0.01,0.01,0.05,0.01,0.03,0.01,0.01,0.01,0.01
14559,0.04,0.06,0.03,0.03,0.02,0.03,0.2,0.03,0.03,0.02,0.03,0.03,0.11,0.18,0.06,0.03,0.03,0.03,0.02
14560,0.02,0.05,0.05,0.41,0.02,0.03,0.12,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.04,0.03,0.02,0.04
14561,0.02,0.06,0.03,0.17,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.36,0.04,0.04,0.02,0.02,0.02,0.02
14562,0.04,0.06,0.04,0.04,0.04,0.04,0.08,0.05,0.04,0.04,0.04,0.04,0.04,0.07,0.19,0.04,0.04,0.04,0.04
14563,0.09,0.31,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.04,0.28,0.02,0.02,0.02,0.05,0.01,0.03
14564,0.04,0.05,0.1,0.04,0.04,0.04,0.09,0.04,0.04,0.07,0.04,0.04,0.04,0.04,0.15,0.04,0.04,0.04,0.05
14565,0.02,0.06,0.05,0.3,0.01,0.01,0.05,0.01,0.01,0.02,0.01,0.02,0.13,0.05,0.11,0.01,0.07,0.03,0.01
14566,0.18,0.18,0.04,0.01,0.03,0.01,0.08,0.01,0.01,0.02,0.02,0.01,0.12,0.2,0.02,0.02,0.02,0.02,0.01
14567,0.32,0.03,0.01,0.01,0.01,0.01,0.14,0.01,0.01,0.03,0.01,0.02,0.16,0.01,0.07,0.05,0.02,0.01,0.07
14568,0.03,0.02,0.09,0.02,0.02,0.02,0.09,0.02,0.03,0.02,0.02,0.21,0.25,0.02,0.02,0.04,0.02,0.02,0.03
14569,0.13,0.09,0.03,0.03,0.01,0.01,0.09,0.0,0.01,0.03,0.01,0.05,0.34,0.03,0.01,0.07,0.02,0.01,0.05
14570,0.07,0.22,0.02,0.08,0.02,0.02,0.03,0.02,0.02,0.05,0.02,0.02,0.09,0.07,0.16,0.04,0.02,0.02,0.04
14571,0.04,0.04,0.01,0.01,0.0,0.0,0.07,0.0,0.0,0.43,0.0,0.01,0.1,0.02,0.07,0.02,0.16,0.0,0.01
14572,0.04,0.11,0.04,0.13,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.06,0.04,0.04
14573,0.11,0.12,0.03,0.02,0.01,0.0,0.11,0.01,0.01,0.04,0.01,0.01,0.16,0.16,0.01,0.02,0.16,0.01,0.01
14574,0.01,0.09,0.03,0.02,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.23,0.37,0.03,0.02,0.07,0.02,0.01,0.01
14575,0.03,0.05,0.08,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.07,0.02,0.15,0.05,0.22,0.06,0.03,0.05,0.02
14576,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.07,0.03,0.04,0.28,0.03,0.03,0.08,0.03,0.03,0.06
14577,0.02,0.07,0.06,0.09,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.36,0.02,0.07,0.02,0.02,0.02,0.08
14578,0.05,0.03,0.03,0.08,0.03,0.03,0.15,0.03,0.03,0.03,0.03,0.03,0.26,0.03,0.07,0.03,0.03,0.03,0.03
14579,0.01,0.02,0.01,0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.69,0.01,0.1,0.01,0.01,0.01,0.02
14580,0.04,0.29,0.07,0.02,0.04,0.02,0.03,0.02,0.02,0.03,0.04,0.02,0.08,0.03,0.13,0.02,0.07,0.03,0.02
14581,0.01,0.01,0.04,0.03,0.01,0.01,0.17,0.01,0.01,0.01,0.01,0.02,0.44,0.01,0.08,0.06,0.02,0.01,0.01
14582,0.03,0.29,0.03,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.32,0.01,0.04,0.03,0.06,0.01,0.03
14583,0.04,0.03,0.03,0.06,0.03,0.03,0.13,0.03,0.03,0.03,0.03,0.03,0.2,0.03,0.13,0.04,0.03,0.03,0.04
14584,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.12,0.03,0.03,0.03,0.03
14585,0.04,0.15,0.05,0.03,0.04,0.04,0.08,0.03,0.03,0.03,0.03,0.12,0.04,0.04,0.1,0.04,0.04,0.04,0.03
14586,0.05,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.05,0.22,0.03,0.16,0.04,0.04,0.03,0.03
14587,0.04,0.03,0.05,0.07,0.03,0.04,0.04,0.03,0.03,0.03,0.11,0.04,0.03,0.25,0.03,0.04,0.03,0.04,0.03
14588,0.08,0.19,0.03,0.04,0.01,0.01,0.06,0.01,0.01,0.04,0.01,0.02,0.34,0.01,0.01,0.02,0.04,0.01,0.06
14589,0.05,0.03,0.03,0.03,0.03,0.03,0.19,0.03,0.03,0.03,0.03,0.05,0.07,0.03,0.12,0.13,0.03,0.03,0.03
14590,0.04,0.05,0.01,0.01,0.01,0.01,0.13,0.01,0.01,0.01,0.01,0.02,0.42,0.07,0.14,0.01,0.01,0.02,0.02
14591,0.04,0.14,0.1,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.08,0.08,0.03,0.13,0.05,0.05,0.03,0.03
14592,0.04,0.32,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.36,0.02,0.02,0.02,0.02,0.02,0.02
14593,0.05,0.04,0.05,0.04,0.04,0.04,0.1,0.04,0.04,0.04,0.07,0.04,0.09,0.04,0.12,0.05,0.04,0.04,0.04
14594,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.36,0.03,0.07,0.03,0.03,0.03,0.03
14595,0.03,0.3,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.04,0.06,0.03,0.05,0.07,0.06,0.05,0.04,0.03,0.04
14596,0.02,0.08,0.14,0.02,0.02,0.02,0.1,0.02,0.02,0.09,0.02,0.02,0.17,0.02,0.03,0.02,0.13,0.02,0.06
14597,0.05,0.04,0.13,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.04,0.15,0.08,0.09,0.03,0.03,0.03,0.03
14598,0.03,0.02,0.09,0.02,0.02,0.02,0.09,0.02,0.03,0.02,0.02,0.21,0.25,0.02,0.02,0.04,0.02,0.02,0.03
14599,0.03,0.06,0.02,0.4,0.03,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.11,0.03,0.13,0.02,0.02,0.02,0.01
14600,0.02,0.02,0.04,0.33,0.02,0.02,0.06,0.04,0.02,0.05,0.02,0.02,0.07,0.11,0.1,0.02,0.02,0.02,0.02
14601,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.23,0.04,0.13,0.03,0.04,0.03,0.04
14602,0.04,0.05,0.14,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.09,0.04,0.04,0.04,0.04,0.04,0.04
14603,0.04,0.03,0.13,0.12,0.03,0.03,0.03,0.03,0.03,0.07,0.03,0.03,0.06,0.12,0.03,0.03,0.06,0.03,0.03
14604,0.05,0.08,0.03,0.04,0.04,0.04,0.06,0.04,0.04,0.07,0.03,0.04,0.1,0.04,0.13,0.05,0.05,0.04,0.04
14605,0.04,0.05,0.08,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.02,0.17,0.15,0.02,0.03,0.07,0.05,0.04,0.07
14606,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.31,0.04,0.04,0.05,0.04,0.05,0.04
14607,0.01,0.16,0.06,0.01,0.01,0.01,0.04,0.02,0.01,0.01,0.03,0.08,0.32,0.01,0.05,0.11,0.02,0.01,0.03
14608,0.03,0.22,0.09,0.03,0.03,0.03,0.03,0.03,0.03,0.06,0.03,0.06,0.11,0.05,0.03,0.03,0.05,0.03,0.03
14609,0.04,0.15,0.03,0.03,0.01,0.01,0.16,0.02,0.01,0.01,0.01,0.01,0.42,0.01,0.05,0.01,0.01,0.01,0.01
14610,0.04,0.04,0.04,0.15,0.03,0.06,0.22,0.03,0.03,0.03,0.03,0.04,0.06,0.05,0.03,0.03,0.03,0.03,0.03
14611,0.03,0.02,0.11,0.04,0.04,0.01,0.08,0.03,0.01,0.01,0.03,0.03,0.29,0.02,0.08,0.01,0.02,0.02,0.1
14612,0.04,0.27,0.06,0.05,0.01,0.01,0.11,0.01,0.01,0.01,0.05,0.01,0.04,0.14,0.09,0.01,0.02,0.01,0.03
14613,0.08,0.04,0.04,0.05,0.04,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0.17,0.05,0.05,0.04,0.05,0.04,0.04
14614,0.02,0.17,0.02,0.07,0.02,0.02,0.24,0.02,0.02,0.07,0.02,0.12,0.02,0.03,0.03,0.02,0.06,0.02,0.02
14615,0.03,0.23,0.03,0.02,0.02,0.02,0.16,0.02,0.06,0.02,0.02,0.18,0.02,0.05,0.02,0.02,0.02,0.03,0.02
14616,0.04,0.24,0.04,0.02,0.04,0.04,0.1,0.02,0.02,0.02,0.02,0.14,0.02,0.08,0.05,0.02,0.03,0.02,0.03
14617,0.03,0.13,0.06,0.07,0.03,0.07,0.04,0.03,0.04,0.03,0.11,0.07,0.07,0.03,0.03,0.03,0.04,0.03,0.03
14618,0.03,0.29,0.02,0.01,0.01,0.01,0.19,0.02,0.02,0.01,0.07,0.17,0.03,0.02,0.01,0.03,0.02,0.02,0.02
14619,0.02,0.09,0.06,0.02,0.02,0.02,0.23,0.02,0.05,0.02,0.12,0.15,0.02,0.04,0.02,0.04,0.03,0.02,0.02
14620,0.01,0.28,0.05,0.01,0.01,0.01,0.14,0.01,0.01,0.07,0.02,0.28,0.01,0.03,0.02,0.01,0.02,0.01,0.01
14621,0.02,0.31,0.06,0.01,0.01,0.01,0.14,0.01,0.01,0.01,0.02,0.2,0.03,0.01,0.01,0.01,0.09,0.01,0.03
14622,0.04,0.19,0.04,0.01,0.02,0.01,0.21,0.02,0.02,0.01,0.02,0.23,0.01,0.01,0.06,0.04,0.01,0.01,0.01
14623,0.02,0.02,0.02,0.46,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.17,0.05,0.02,0.02,0.04,0.02,0.02
14624,0.08,0.01,0.04,0.01,0.01,0.03,0.05,0.01,0.01,0.03,0.01,0.02,0.47,0.01,0.01,0.01,0.1,0.01,0.06
14625,0.04,0.06,0.12,0.04,0.04,0.04,0.05,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.17,0.04,0.04,0.05,0.04
14626,0.03,0.04,0.07,0.08,0.03,0.03,0.06,0.03,0.03,0.03,0.03,0.03,0.15,0.11,0.08,0.03,0.04,0.03,0.04
14627,0.03,0.07,0.03,0.12,0.03,0.03,0.11,0.03,0.03,0.06,0.07,0.05,0.11,0.07,0.03,0.03,0.03,0.03,0.03
14628,0.01,0.1,0.03,0.13,0.02,0.01,0.1,0.01,0.01,0.01,0.01,0.04,0.21,0.09,0.11,0.07,0.01,0.01,0.02
14629,0.03,0.15,0.03,0.09,0.02,0.02,0.05,0.02,0.02,0.02,0.02,0.03,0.16,0.03,0.21,0.03,0.03,0.02,0.02
14630,0.02,0.05,0.05,0.36,0.01,0.01,0.18,0.01,0.01,0.01,0.01,0.02,0.09,0.04,0.02,0.05,0.01,0.01,0.02
14631,0.02,0.2,0.07,0.05,0.02,0.02,0.1,0.05,0.02,0.02,0.02,0.06,0.14,0.06,0.05,0.05,0.02,0.02,0.02
14632,0.04,0.05,0.1,0.1,0.01,0.01,0.11,0.01,0.02,0.01,0.01,0.03,0.28,0.07,0.03,0.03,0.06,0.01,0.01
14633,0.08,0.16,0.06,0.04,0.02,0.02,0.07,0.02,0.02,0.02,0.03,0.02,0.27,0.05,0.03,0.02,0.03,0.02,0.03
14634,0.04,0.04,0.12,0.03,0.03,0.04,0.04,0.04,0.03,0.07,0.04,0.05,0.07,0.06,0.12,0.03,0.07,0.05,0.03
14635,0.03,0.03,0.06,0.19,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.14,0.04,0.07,0.05,0.04,0.03,0.07
14636,0.02,0.41,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.03,0.02,0.02,0.13,0.02,0.02,0.06,0.05,0.03,0.02
14637,0.14,0.06,0.02,0.09,0.02,0.02,0.03,0.02,0.02,0.03,0.03,0.03,0.24,0.09,0.05,0.02,0.04,0.02,0.02
14638,0.03,0.03,0.12,0.03,0.03,0.02,0.04,0.02,0.02,0.03,0.03,0.03,0.35,0.08,0.03,0.03,0.03,0.02,0.03
14639,0.05,0.05,0.05,0.05,0.05,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
14640,0.03,0.03,0.05,0.1,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.11,0.22,0.03,0.12,0.03,0.03,0.03,0.03
14641,0.03,0.03,0.08,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.27,0.03,0.14,0.03,0.03,0.03,0.03
14642,0.04,0.04,0.14,0.04,0.03,0.03,0.05,0.03,0.03,0.05,0.06,0.04,0.12,0.04,0.08,0.03,0.04,0.03,0.04
14643,0.04,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.32,0.1,0.03,0.03,0.04,0.03,0.03
14644,0.02,0.03,0.02,0.13,0.02,0.02,0.04,0.03,0.02,0.02,0.02,0.03,0.32,0.09,0.09,0.03,0.03,0.02,0.02
14645,0.03,0.03,0.04,0.1,0.03,0.04,0.09,0.03,0.04,0.04,0.04,0.04,0.2,0.04,0.05,0.04,0.03,0.03,0.07
14646,0.04,0.04,0.04,0.05,0.04,0.03,0.07,0.03,0.04,0.05,0.06,0.04,0.21,0.04,0.03,0.03,0.05,0.08,0.03
14647,0.06,0.04,0.02,0.03,0.02,0.02,0.14,0.02,0.02,0.02,0.02,0.05,0.43,0.02,0.04,0.02,0.02,0.02,0.04
14648,0.03,0.2,0.02,0.03,0.03,0.03,0.02,0.03,0.03,0.02,0.03,0.03,0.06,0.06,0.17,0.07,0.08,0.03,0.03
14649,0.03,0.12,0.06,0.02,0.02,0.02,0.05,0.04,0.02,0.02,0.03,0.05,0.13,0.13,0.1,0.02,0.04,0.06,0.04
14650,0.03,0.02,0.07,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.48,0.02,0.07,0.03,0.02,0.02,0.02
14651,0.04,0.04,0.04,0.04,0.04,0.04,0.12,0.04,0.04,0.04,0.04,0.06,0.05,0.03,0.15,0.04,0.11,0.04,0.04
14652,0.03,0.1,0.04,0.03,0.05,0.03,0.07,0.03,0.03,0.08,0.07,0.06,0.11,0.04,0.04,0.04,0.04,0.03,0.07
14653,0.04,0.04,0.06,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.06,0.23,0.05,0.04,0.04,0.04,0.04,0.04
14654,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.32,0.03,0.1,0.03,0.03,0.03,0.03
14655,0.02,0.04,0.02,0.08,0.02,0.02,0.04,0.02,0.02,0.04,0.02,0.03,0.39,0.02,0.08,0.02,0.08,0.02,0.02
14656,0.04,0.14,0.06,0.02,0.02,0.03,0.18,0.02,0.02,0.02,0.02,0.02,0.07,0.02,0.09,0.03,0.17,0.02,0.02
14657,0.05,0.03,0.03,0.02,0.02,0.02,0.03,0.02,0.02,0.08,0.03,0.06,0.38,0.02,0.03,0.02,0.02,0.02,0.07
14658,0.03,0.06,0.04,0.02,0.02,0.02,0.13,0.02,0.02,0.02,0.02,0.25,0.07,0.1,0.05,0.03,0.03,0.02,0.05
14659,0.02,0.03,0.07,0.13,0.03,0.01,0.17,0.02,0.01,0.01,0.03,0.02,0.31,0.02,0.01,0.02,0.04,0.03,0.02
14660,0.02,0.18,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.36,0.05,0.03,0.02,0.03,0.03,0.02
14661,0.04,0.07,0.09,0.04,0.04,0.04,0.06,0.04,0.04,0.05,0.04,0.06,0.04,0.1,0.09,0.06,0.05,0.04,0.04
14662,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.07,0.05,0.04,0.19,0.04,0.05,0.04,0.04
14663,0.05,0.05,0.05,0.05,0.05,0.05,0.09,0.05,0.05,0.05,0.05,0.05,0.1,0.05,0.05,0.05,0.05,0.05,0.05
14664,0.04,0.04,0.19,0.04,0.05,0.05,0.04,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04
14665,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.17,0.04,0.11,0.04,0.04,0.04,0.04
14666,0.04,0.04,0.03,0.09,0.02,0.04,0.08,0.02,0.02,0.04,0.02,0.02,0.1,0.02,0.22,0.02,0.1,0.02,0.02
14667,0.04,0.08,0.05,0.05,0.02,0.03,0.04,0.03,0.02,0.03,0.02,0.03,0.02,0.05,0.15,0.02,0.27,0.02,0.02
14668,0.08,0.06,0.05,0.03,0.03,0.03,0.06,0.04,0.03,0.05,0.03,0.04,0.11,0.03,0.17,0.04,0.07,0.03,0.03
14669,0.03,0.05,0.06,0.04,0.04,0.04,0.17,0.04,0.04,0.04,0.03,0.03,0.18,0.04,0.03,0.03,0.04,0.04,0.03
14670,0.06,0.03,0.03,0.03,0.03,0.03,0.15,0.03,0.03,0.03,0.03,0.05,0.32,0.03,0.05,0.03,0.03,0.03,0.03
14671,0.04,0.28,0.07,0.04,0.01,0.01,0.08,0.01,0.01,0.01,0.01,0.01,0.09,0.24,0.06,0.02,0.01,0.01,0.02
14672,0.1,0.07,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.09,0.34,0.02,0.04,0.02,0.03,0.03,0.07
14673,0.04,0.04,0.03,0.04,0.06,0.04,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0.14,0.12,0.04,0.06,0.05,0.08
14674,0.08,0.08,0.07,0.03,0.03,0.03,0.09,0.03,0.03,0.03,0.03,0.11,0.06,0.03,0.12,0.03,0.05,0.03,0.03
14675,0.04,0.04,0.04,0.04,0.05,0.04,0.06,0.04,0.04,0.04,0.09,0.05,0.04,0.04,0.12,0.07,0.04,0.08,0.04
14676,0.02,0.08,0.07,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.43,0.02,0.02,0.07,0.02,0.02,0.06
